VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -4.05726,  0.01399,  7.32422E-06,  0.10354,  0.99463,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99016,  0.50,  1.00,  6.87085E-07
1, 1, -3.9793,  0.01399, -0.62459,  0.09941,  0.96663,  0.2361,  1.00,  1.00,  1.00,  1.00,  0.98074,  0.59562,  1.03124,  8.48752E-07
2, 2, -4.01045,  0.03467, -0.62955,  0.06468,  0.99027,  0.12321,  1.00,  1.00,  1.00,  1.00,  0.98426,  0.59632,  1.03125,  0.01281
3, 3, -4.08902,  0.03467,  4.88281E-06,  0.06479,  0.9979,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99374,  0.50,  1.00,  0.01281
4, 0, -4.05726,  0.01399,  7.32422E-06,  0.10354,  0.99463,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99016,  0.50,  1.00,  6.87085E-07
5, 2, -4.01045,  0.03467, -0.62955,  0.06468,  0.99027,  0.12321,  1.00,  1.00,  1.00,  1.00,  0.98426,  0.59632,  1.03125,  0.01281
6, 0, -4.05726,  0.01399,  7.32422E-06,  0.10354,  0.99463,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99016,  0.50,  1.00,  6.87085E-07
7, 3, -4.08902,  0.03467,  4.88281E-06,  0.06479,  0.9979,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99374,  0.50,  1.00,  0.01281
8, 4, -4.01045,  0.03467,  0.62954,  0.06458,  0.9887, -0.13531,  1.00,  1.00,  1.00,  1.00,  0.98426,  0.40368,  0.96875,  0.01281
9, 4, -4.01045,  0.03467,  0.62954,  0.06458,  0.9887, -0.13531,  1.00,  1.00,  1.00,  1.00,  0.98426,  0.40368,  0.96875,  0.01281
10, 5, -3.9793,  0.01399,  0.62459,  0.09941,  0.96663, -0.23611,  1.00,  1.00,  1.00,  1.00,  0.98074,  0.40438,  0.96876,  6.46668E-07
11, 0, -4.05726,  0.01399,  7.32422E-06,  0.10354,  0.99463,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99016,  0.50,  1.00,  6.87085E-07
12, 5, -3.9793,  0.01399,  0.62459,  0.09941,  0.96663, -0.23611,  1.00,  1.00,  1.00,  1.00,  0.98074,  0.40438,  0.96876,  6.46668E-07
13, 4, -4.01045,  0.03467,  0.62954,  0.06458,  0.9887, -0.13531,  1.00,  1.00,  1.00,  1.00,  0.98426,  0.40368,  0.96875,  0.01281
14, 6, -3.77776,  0.03467,  1.23488,  0.06108,  0.9646, -0.25654,  1.00,  1.00,  1.00,  1.00,  0.95616,  0.31105,  0.93751,  0.01281
15, 6, -3.77776,  0.03467,  1.23488,  0.06108,  0.9646, -0.25654,  1.00,  1.00,  1.00,  1.00,  0.95616,  0.31105,  0.93751,  0.01281
16, 7, -3.74843,  0.01399,  1.22516,  0.08497,  0.90127, -0.42485,  1.00,  1.00,  1.00,  1.00,  0.95285,  0.31243,  0.93751,  6.06251E-07
17, 5, -3.9793,  0.01399,  0.62459,  0.09941,  0.96663, -0.23611,  1.00,  1.00,  1.00,  1.00,  0.98074,  0.40438,  0.96876,  6.46668E-07
18, 7, -3.74843,  0.01399,  1.22516,  0.08497,  0.90127, -0.42485,  1.00,  1.00,  1.00,  1.00,  0.95285,  0.31243,  0.93751,  6.06251E-07
19, 6, -3.77776,  0.03467,  1.23488,  0.06108,  0.9646, -0.25654,  1.00,  1.00,  1.00,  1.00,  0.95616,  0.31105,  0.93751,  0.01281
20, 8, -3.3999,  0.03467,  1.79278,  0.0514,  0.93045, -0.36281,  1.00,  1.00,  1.00,  1.00,  0.91053,  0.22569,  0.90626,  0.01281
21, 8, -3.3999,  0.03467,  1.79278,  0.0514,  0.93045, -0.36281,  1.00,  1.00,  1.00,  1.00,  0.91053,  0.22569,  0.90626,  0.01281
22, 9, -3.3735,  0.01399,  1.77866,  0.0684,  0.83421, -0.54719,  1.00,  1.00,  1.00,  1.00,  0.90755,  0.22768,  0.90627,  5.65834E-07
23, 7, -3.74843,  0.01399,  1.22516,  0.08497,  0.90127, -0.42485,  1.00,  1.00,  1.00,  1.00,  0.95285,  0.31243,  0.93751,  6.06251E-07
