VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.19823,  7.99414E-09,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.0489
1, 1,  5.16458E-07,  0.00,  3.17,  2.27879E-07,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.01754,  0.0489
2, 2,  5.82278E-07, -0.10,  3.17,  2.27879E-07,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.01754,  0.00907
3, 2,  5.82278E-07, -0.10,  3.17,  2.27879E-07,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.01754,  0.00907
4, 3,  0.19823, -0.10,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.00907
5, 0,  0.19823,  7.99414E-09,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.0489
6, 4,  0.39599,  1.59690E-08,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.0489
7, 0,  0.19823,  7.99414E-09,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.0489
8, 3,  0.19823, -0.10,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.00907
9, 3,  0.19823, -0.10,  3.16618,  0.06257,  0.00,  0.99804,  1.00,  1.00,  1.00,  1.00,  0.01989,  0.00907
10, 5,  0.39599, -0.10,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.00907
11, 4,  0.39599,  1.59690E-08,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.0489
12, 6,  0.59279,  2.39054E-08,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.0489
13, 4,  0.39599,  1.59690E-08,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.0489
14, 5,  0.39599, -0.10,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.00907
15, 5,  0.39599, -0.10,  3.15474,  0.12479,  0.00,  0.99218,  1.00,  1.00,  1.00,  1.00,  0.02224,  0.00907
16, 7,  0.59279, -0.10,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.00907
17, 6,  0.59279,  2.39054E-08,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.0489
18, 8,  0.78817,  3.17842E-08,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.0489
19, 6,  0.59279,  2.39054E-08,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.0489
20, 7,  0.59279, -0.10,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.00907
21, 7,  0.59279, -0.10,  3.13569,  0.18576,  0.00,  0.98259,  1.00,  1.00,  1.00,  1.00,  0.02459,  0.00907
22, 9,  0.78817, -0.10,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.00907
23, 8,  0.78817,  3.17842E-08,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.0489
24, 10,  0.98164,  3.95865E-08,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.0489
25, 8,  0.78817,  3.17842E-08,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.0489
26, 9,  0.78817, -0.10,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.00907
27, 9,  0.78817, -0.10,  3.10909,  0.2454,  0.00,  0.96942,  1.00,  1.00,  1.00,  1.00,  0.02693,  0.00907
28, 11,  0.98164, -0.10,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.00907
29, 10,  0.98164,  3.95865E-08,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.0489
30, 12,  1.17275,  4.72934E-08,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.0489
31, 10,  0.98164,  3.95865E-08,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.0489
32, 11,  0.98164, -0.10,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.00907
33, 11,  0.98164, -0.10,  3.075,  0.30453,  0.00,  0.9525,  1.00,  1.00,  1.00,  1.00,  0.02928,  0.00907
34, 13,  1.17275, -0.10,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.00907
35, 12,  1.17275,  4.72934E-08,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.0489
36, 14,  1.36104,  5.48863E-08,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.0489
37, 12,  1.17275,  4.72934E-08,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.0489
38, 13,  1.17275, -0.10,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.00907
39, 13,  1.17275, -0.10,  3.0335,  0.36046,  0.00,  0.93277,  1.00,  1.00,  1.00,  1.00,  0.03163,  0.00907
40, 15,  1.36104, -0.10,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.00907
41, 14,  1.36104,  5.48863E-08,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.0489
42, 14,  1.36104,  5.48863E-08,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.0489
43, 15,  1.36104, -0.10,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.00907
44, 16,  1.54604, -0.10,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.00907
45, 14,  1.36104,  5.48863E-08,  2.98469,  0.41518,  0.00,  0.90974,  1.00,  1.00,  1.00,  1.00,  0.03398,  0.0489
46, 16,  1.54604, -0.10,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.00907
47, 17,  1.54604,  6.23470E-08,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.0489
48, 17,  1.54604,  6.23470E-08,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.0489
49, 16,  1.54604, -0.10,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.00907
50, 18,  1.72732, -0.10,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.00907
51, 17,  1.54604,  6.23470E-08,  2.9287,  0.46663,  0.00,  0.88445,  1.00,  1.00,  1.00,  1.00,  0.03633,  0.0489
52, 18,  1.72732, -0.10,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.00907
53, 19,  1.72732,  6.96576E-08,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.0489
54, 19,  1.72732,  6.96576E-08,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.0489
55, 18,  1.72732, -0.10,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.00907
56, 20,  1.90444, -0.10,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.00907
57, 19,  1.72732,  6.96576E-08,  2.86565,  0.51539,  0.00,  0.85695,  1.00,  1.00,  1.00,  1.00,  0.03868,  0.0489
58, 20,  1.90444, -0.10,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.00907
59, 21,  1.90444,  7.68003E-08,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.0489
60, 21,  1.90444,  7.68003E-08,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.0489
61, 20,  1.90444, -0.10,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.00907
62, 22,  2.07698, -0.10,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.00907
63, 23,  2.07698,  8.37580E-08,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.0489
64, 21,  1.90444,  7.68003E-08,  2.79569,  0.56277,  0.00,  0.82661,  1.00,  1.00,  1.00,  1.00,  0.04102,  0.0489
65, 22,  2.07698, -0.10,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.00907
66, 23,  2.07698,  8.37580E-08,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.0489
67, 22,  2.07698, -0.10,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.00907
68, 24,  2.2445, -0.10,  2.63576,  0.64915,  0.00,  0.76066,  1.00,  1.00,  1.00,  1.00,  0.04572,  0.00907
69, 25,  2.2445,  9.05139E-08,  2.63576,  0.64915,  0.00,  0.76066,  1.00,  1.00,  1.00,  1.00,  0.04572,  0.0489
70, 23,  2.07698,  8.37580E-08,  2.719,  0.60779,  0.00,  0.7941,  1.00,  1.00,  1.00,  1.00,  0.04337,  0.0489
