VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.13709,  0.09829, -0.03293, -0.32259,  0.66127, -0.67725,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30298,  0.03857,  0.30298
1, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
2, 2, -0.1468,  0.09595, -0.02812, -0.4576,  0.64833, -0.60848,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30713,  0.03857,  0.30713
3, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72294,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
4, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
5, 4, -0.13709,  0.09829, -0.03293, -0.32259,  0.66127, -0.67725,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30298,  0.03857,  0.30298
6, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72294,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
7, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
8, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
9, 6, -0.11238,  0.1009, -0.04047, -0.07219,  0.66826, -0.7402,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
10, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
11, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72294,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
12, 6, -0.11238,  0.1009, -0.04047, -0.07219,  0.66826, -0.7402,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
13, 7, -0.11237,  0.09778, -0.0389, -0.07778,  0.65427, -0.75207,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
14, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
15, 8, -0.10077,  0.10137, -0.04167,  0.00484,  0.66329, -0.74809,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
16, 7, -0.11237,  0.09778, -0.0389, -0.07778,  0.65427, -0.75207,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
17, 6, -0.11238,  0.1009, -0.04047, -0.07219,  0.66826, -0.7402,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
18, 8, -0.10077,  0.10137, -0.04167,  0.00484,  0.66329, -0.74809,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
19, 9, -0.10061,  0.09861, -0.04018, -0.00078,  0.65806, -0.75274,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
20, 7, -0.11237,  0.09778, -0.0389, -0.07778,  0.65427, -0.75207,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
21, 10, -0.0874,  0.10059, -0.04079,  0.0883,  0.6544, -0.75055,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
22, 9, -0.10061,  0.09861, -0.04018, -0.00078,  0.65806, -0.75274,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
23, 8, -0.10077,  0.10137, -0.04167,  0.00484,  0.66329, -0.74809,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
24, 10, -0.0874,  0.10059, -0.04079,  0.0883,  0.6544, -0.75055,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
25, 11, -0.08719,  0.09848, -0.03882,  0.0582,  0.65323, -0.75443,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
26, 9, -0.10061,  0.09861, -0.04018, -0.00078,  0.65806, -0.75274,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
27, 12, -0.07551,  0.09973, -0.03811,  0.09306,  0.65118, -0.75285,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
28, 11, -0.08719,  0.09848, -0.03882,  0.0582,  0.65323, -0.75443,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
29, 10, -0.0874,  0.10059, -0.04079,  0.0883,  0.6544, -0.75055,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
30, 12, -0.07551,  0.09973, -0.03811,  0.09306,  0.65118, -0.75285,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
31, 13, -0.07551,  0.09788, -0.03595,  0.09376,  0.65113, -0.75281,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
32, 11, -0.08719,  0.09848, -0.03882,  0.0582,  0.65323, -0.75443,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
33, 14, -0.06589,  0.09823, -0.03442,  0.12957,  0.64637, -0.75174,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
34, 13, -0.07551,  0.09788, -0.03595,  0.09376,  0.65113, -0.75281,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
35, 12, -0.07551,  0.09973, -0.03811,  0.09306,  0.65118, -0.75285,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
36, 14, -0.06589,  0.09823, -0.03442,  0.12957,  0.64637, -0.75174,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
37, 15, -0.06613,  0.09738, -0.03249,  0.12851,  0.65149, -0.74749,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
38, 13, -0.07551,  0.09788, -0.03595,  0.09376,  0.65113, -0.75281,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
39, 16, -0.05947,  0.09695, -0.03097,  0.14956,  0.64689, -0.74762,  1.00,  0.50196,  0.50196,  0.50196,  0.02896,  0.27539,  0.02896,  0.27539
40, 15, -0.06613,  0.09738, -0.03249,  0.12851,  0.65149, -0.74749,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
41, 14, -0.06589,  0.09823, -0.03442,  0.12957,  0.64637, -0.75174,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
42, 16, -0.05947,  0.09695, -0.03097,  0.14956,  0.64689, -0.74762,  1.00,  0.50196,  0.50196,  0.50196,  0.02896,  0.27539,  0.02896,  0.27539
43, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
44, 15, -0.06613,  0.09738, -0.03249,  0.12851,  0.65149, -0.74749,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
45, 18, -0.05576,  0.09574, -0.02825,  0.14793,  0.64692, -0.7478,  1.00,  0.50196,  0.50196,  0.50196,  0.02802,  0.27393,  0.02802,  0.27393
46, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
47, 16, -0.05947,  0.09695, -0.03097,  0.14956,  0.64689, -0.74762,  1.00,  0.50196,  0.50196,  0.50196,  0.02896,  0.27539,  0.02896,  0.27539
48, 18, -0.05576,  0.09574, -0.02825,  0.14793,  0.64692, -0.7478,  1.00,  0.50196,  0.50196,  0.50196,  0.02802,  0.27393,  0.02802,  0.27393
49, 19, -0.05563,  0.09526, -0.0274,  0.148,  0.64745, -0.74734,  1.00,  0.50196,  0.50196,  0.50196,  0.02766,  0.27393,  0.02766,  0.27393
50, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
51, 20, -0.04958,  0.09339, -0.02326,  0.14586,  0.64909, -0.74637,  1.00,  0.50196,  0.50196,  1.00,  0.02641,  0.27148,  0.02641,  0.27148
52, 19, -0.05563,  0.09526, -0.0274,  0.148,  0.64745, -0.74734,  1.00,  0.50196,  0.50196,  0.50196,  0.02766,  0.27393,  0.02766,  0.27393
53, 18, -0.05576,  0.09574, -0.02825,  0.14793,  0.64692, -0.7478,  1.00,  0.50196,  0.50196,  0.50196,  0.02802,  0.27393,  0.02802,  0.27393
54, 20, -0.04958,  0.09339, -0.02326,  0.14586,  0.64909, -0.74637,  1.00,  0.50196,  0.50196,  1.00,  0.02641,  0.27148,  0.02641,  0.27148
55, 21, -0.05584,  0.09572, -0.02577,  0.14732,  0.65562, -0.74032,  1.00,  0.50196,  0.50196,  0.50196,  0.02722,  0.27393,  0.02722,  0.27393
56, 19, -0.05563,  0.09526, -0.0274,  0.148,  0.64745, -0.74734,  1.00,  0.50196,  0.50196,  0.50196,  0.02766,  0.27393,  0.02766,  0.27393
57, 22, -0.06038,  0.09696, -0.02719,  0.14241,  0.6585, -0.73861,  1.00,  0.50196,  0.50196,  0.50196,  0.02774,  0.27563,  0.02774,  0.27563
58, 19, -0.05563,  0.09526, -0.0274,  0.148,  0.64745, -0.74734,  1.00,  0.50196,  0.50196,  0.50196,  0.02766,  0.27393,  0.02766,  0.27393
59, 21, -0.05584,  0.09572, -0.02577,  0.14732,  0.65562, -0.74032,  1.00,  0.50196,  0.50196,  0.50196,  0.02722,  0.27393,  0.02722,  0.27393
60, 22, -0.06038,  0.09696, -0.02719,  0.14241,  0.6585, -0.73861,  1.00,  0.50196,  0.50196,  0.50196,  0.02774,  0.27563,  0.02774,  0.27563
61, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
62, 19, -0.05563,  0.09526, -0.0274,  0.148,  0.64745, -0.74734,  1.00,  0.50196,  0.50196,  0.50196,  0.02766,  0.27393,  0.02766,  0.27393
63, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
64, 23, -0.06657,  0.09835, -0.02905,  0.12738,  0.66288, -0.73756,  1.00,  0.50196,  0.50196,  0.50196,  0.02847,  0.27808,  0.02847,  0.27808
65, 15, -0.06613,  0.09738, -0.03249,  0.12851,  0.65149, -0.74749,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
66, 17, -0.05965,  0.0963, -0.02913,  0.14901,  0.65222, -0.74307,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
67, 22, -0.06038,  0.09696, -0.02719,  0.14241,  0.6585, -0.73861,  1.00,  0.50196,  0.50196,  0.50196,  0.02774,  0.27563,  0.02774,  0.27563
68, 23, -0.06657,  0.09835, -0.02905,  0.12738,  0.66288, -0.73756,  1.00,  0.50196,  0.50196,  0.50196,  0.02847,  0.27808,  0.02847,  0.27808
