VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.05449,  0.07908, -0.02041,  0.33065, -0.89612, -0.29527,  1.00,  0.00,  0.00,  0.00,  0.51758,  0.25562,  0.51758,  0.25562
1, 1, -0.05332,  0.0794, -0.01984, -0.09294,  0.6615, -0.74407,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
2, 2, -0.05367,  0.07915, -0.01944, -0.32866, -0.79868, -0.50376,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25562,  0.52051,  0.25562
3, 3, -0.05305,  0.07877, -0.01977, -0.79302, -0.43876, -0.4222,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
4, 4, -0.05367,  0.07915, -0.01944, -0.32866, -0.79868, -0.50376,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25562,  0.52051,  0.25562
5, 1, -0.05332,  0.0794, -0.01984, -0.09294,  0.6615, -0.74407,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
6, 3, -0.05305,  0.07877, -0.01977, -0.79302, -0.43876, -0.4222,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
7, 1, -0.05332,  0.0794, -0.01984, -0.09294,  0.6615, -0.74407,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
8, 5, -0.05243,  0.07865, -0.02099, -0.49602,  0.48304, -0.72144,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
9, 6, -0.05129,  0.07747, -0.02172, -0.83574, -0.53039, -0.14097,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
10, 3, -0.05305,  0.07877, -0.01977, -0.79302, -0.43876, -0.4222,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
11, 5, -0.05243,  0.07865, -0.02099, -0.49602,  0.48304, -0.72144,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
12, 6, -0.05129,  0.07747, -0.02172, -0.83574, -0.53039, -0.14097,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
13, 5, -0.05243,  0.07865, -0.02099, -0.49602,  0.48304, -0.72144,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
14, 7, -0.05151,  0.07786, -0.02225, -0.31766,  0.80945, -0.49374,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
15, 8, -0.05079,  0.07662, -0.02375, -0.88907, -0.4539,  0.05674,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
16, 6, -0.05129,  0.07747, -0.02172, -0.83574, -0.53039, -0.14097,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
17, 7, -0.05151,  0.07786, -0.02225, -0.31766,  0.80945, -0.49374,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
18, 8, -0.05079,  0.07662, -0.02375, -0.88907, -0.4539,  0.05674,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
19, 7, -0.05151,  0.07786, -0.02225, -0.31766,  0.80945, -0.49374,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
20, 9, -0.05106,  0.07709, -0.02422, -0.02703,  0.95238, -0.30357,  1.00,  0.00,  0.00,  0.00,  0.50,  0.2583,  0.50,  0.2583
21, 9, -0.05106,  0.07709, -0.02422, -0.02703,  0.95238, -0.30357,  1.00,  0.00,  0.00,  0.00,  0.50,  0.2583,  0.50,  0.2583
22, 10, -0.05073,  0.07554, -0.02739, -0.91068, -0.39438,  0.12198,  1.00,  0.00,  0.00,  0.00,  0.49438,  0.25562,  0.49438,  0.25562
23, 8, -0.05079,  0.07662, -0.02375, -0.88907, -0.4539,  0.05674,  1.00,  0.00,  0.00,  0.00,  0.50,  0.25562,  0.50,  0.25562
24, 11, -0.05625,  0.07909, -0.0232,  0.72978, -0.48669, -0.47964,  1.00,  0.00,  0.00,  0.00,  0.82129,  0.12012,  0.82129,  0.12012
25, 12, -0.05625,  0.07936, -0.02285,  0.59009,  0.67471, -0.44274,  1.00,  0.00,  0.00,  0.00,  0.79639,  0.12354,  0.79639,  0.12354
26, 13, -0.05518,  0.07951, -0.02125,  0.62492,  0.45067, -0.63722,  1.00,  0.00,  0.00,  0.00,  0.79688,  0.12366,  0.79688,  0.12366
27, 14, -0.05449,  0.07908,  0.02041,  0.33065, -0.89612,  0.29526,  1.00,  0.00,  0.00,  0.00,  0.51758,  0.25562,  0.51758,  0.25562
28, 15, -0.05367,  0.07915,  0.01944, -0.32858, -0.79875,  0.50371,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25562,  0.52051,  0.25562
29, 16, -0.05332,  0.0794,  0.01984, -0.09288,  0.66157,  0.74402,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
30, 17, -0.05305,  0.07877,  0.01977, -0.79299, -0.43883,  0.42218,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
31, 16, -0.05332,  0.0794,  0.01984, -0.09288,  0.66157,  0.74402,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
32, 18, -0.05367,  0.07915,  0.01944, -0.32858, -0.79875,  0.50371,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25562,  0.52051,  0.25562
33, 17, -0.05305,  0.07877,  0.01977, -0.79299, -0.43883,  0.42218,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
34, 19, -0.05243,  0.07865,  0.02099, -0.49602,  0.48303,  0.72145,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
35, 16, -0.05332,  0.0794,  0.01984, -0.09288,  0.66157,  0.74402,  1.00,  0.00,  0.00,  0.00,  0.52051,  0.25537,  0.52051,  0.25537
36, 20, -0.05129,  0.07747,  0.02172, -0.83577, -0.53035,  0.14098,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
37, 19, -0.05243,  0.07865,  0.02099, -0.49602,  0.48303,  0.72145,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
38, 17, -0.05305,  0.07877,  0.01977, -0.79299, -0.43883,  0.42218,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.25562,  0.51172,  0.25562
39, 20, -0.05129,  0.07747,  0.02172, -0.83577, -0.53035,  0.14098,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.25562,  0.50586,  0.25562
40, 21, -0.05151,  0.07786,  0.02225, -0.31769,  0.80942,  0.49377,  1.00,  0.00,  0.00,  0.00,  0.50586,  0.2583,  0.50586,  0.2583
41, 19, -0.05243,  0.07865,  0.02099, -0.49602,  0.48303,  0.72145,  1.00,  0.00,  0.00,  0.00,  0.51172,  0.2583,  0.51172,  0.2583
