VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y, _input2.z, _input2.w, _input3.x, _input3.y, _input3.z, _input3.w, _input4.x, _input4.y, _input5.x, _input5.y, _input6.x, _input6.y
0, 0,  0.00,  0.00,  54.66838,  0.00,  0.00, -1.00,  0.00,  0.99512, -0.09802,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00, -1.19209E-07,  0.50146,  0.50,  0.18225,  0.52197
1, 1,  4.66194E-07,  10.66527,  53.61795,  0.00, -0.20093, -0.97949,  0.00,  0.99561, -0.09406,  0.0193, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.0625,  0.50146,  0.57227,  0.18237,  0.48535
2, 2,  2.08069,  10.46034,  53.61795, -0.03922, -0.19714, -0.97949,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.0625,  0.4873,  0.5708,  0.17517,  0.48584
3, 1,  4.66194E-07,  10.66527,  53.61795,  0.00, -0.20093, -0.97949,  0.00,  0.99561, -0.09406,  0.0193, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.0625,  0.50146,  0.57227,  0.18237,  0.48535
4, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
5, 2,  2.08069,  10.46034,  53.61795, -0.03922, -0.19714, -0.97949,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.0625,  0.4873,  0.5708,  0.17517,  0.48584
6, 1,  4.66194E-07,  10.66527,  53.61795,  0.00, -0.20093, -0.97949,  0.00,  0.99561, -0.09406,  0.0193, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.0625,  0.50146,  0.57227,  0.18237,  0.48535
7, 4,  9.14472E-07,  20.92069,  50.507,  0.00, -0.38794, -0.92188,  0.00,  0.99609, -0.08331,  0.03506, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.125,  0.50146,  0.64209,  0.1825,  0.44775
8, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
9, 4,  9.14472E-07,  20.92069,  50.507,  0.00, -0.38794, -0.92188,  0.00,  0.99609, -0.08331,  0.03506, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.125,  0.50146,  0.64209,  0.1825,  0.44775
10, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
11, 3,  4.08142,  20.5187,  50.507, -0.07568, -0.38037, -0.92188,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.125,  0.47363,  0.63916,  0.16797,  0.44922
12, 4,  9.14472E-07,  20.92069,  50.507,  0.00, -0.38794, -0.92188,  0.00,  0.99609, -0.08331,  0.03506, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.125,  0.50146,  0.64209,  0.1825,  0.44775
13, 6,  1.32761E-06,  30.37213,  45.4551,  0.00, -0.55957, -0.82861,  0.00,  0.99658, -0.06738,  0.04553, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.1875,  0.50146,  0.70605,  0.18237,  0.40918
14, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
15, 6,  1.32761E-06,  30.37213,  45.4551,  0.00, -0.55957, -0.82861,  0.00,  0.99658, -0.06738,  0.04553, -1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.1875,  0.50146,  0.70605,  0.18237,  0.40918
16, 7,  7.54149,  37.91361,  38.65638, -0.13855, -0.69629, -0.7041,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.25,  0.4502,  0.75732,  0.1521,  0.37085
17, 5,  5.92531,  29.78853,  45.4551, -0.10919, -0.54883, -0.82861,  0.00,  0.98096, -0.19507,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.03125,  0.1875,  0.46118,  0.70215,  0.16028,  0.41113
