VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input2.z, _input2.w, _input3.x, _input3.y, _input4.x, _input4.y
0, 12888,  0.07702, -0.10, -0.12872, -0.21072, -0.7772, -0.57392,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52286,  0.70945,  0.52286
1, 12889,  0.13603, -0.11992, -0.13924, -0.12574, -0.98681,  0.02953,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52541,  0.71454,  0.52541
2, 12890,  0.13623, -0.11959, -0.13775, -0.15783, -0.95867, -0.21566,  1.00,  0.50196,  0.50196,  0.50196,  0.71454,  0.52031,  0.71454,  0.52031
3, 12891,  0.1458, -0.09737, -0.14295, -0.2416, -0.49538, -0.82718,  1.00,  0.50196,  0.50196,  0.50196,  0.70945,  0.52031,  0.70945,  0.52031
4, 12892,  0.14593, -0.09737, -0.14169, -0.19153, -0.87129, -0.43851,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52541,  0.70945,  0.52541
5, 12893,  0.07702, -0.10, -0.12872, -0.21072, -0.7772, -0.57392,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52286,  0.71454,  0.52286
6, 12894,  0.14003, -0.13147,  0.12375, -0.20749, -0.94319,  0.24496,  1.00,  0.50196,  0.50196,  0.50196,  0.70945,  0.52031,  0.70945,  0.52031
7, 12895,  0.13996, -0.13027,  0.12616, -0.20862, -0.89993,  0.37317,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52541,  0.70945,  0.52541
8, 12896,  0.07799, -0.10422,  0.11445, -0.21827, -0.74103,  0.63369,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52286,  0.71454,  0.52286
9, 12897,  0.07799, -0.10422,  0.11445, -0.21827, -0.74103,  0.63369,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52286,  0.70945,  0.52286
10, 12898,  0.14107, -0.12336,  0.13129, -0.16632, -0.57556,  0.79722,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52541,  0.71454,  0.52541
11, 12899,  0.14098, -0.12197,  0.13256, -0.15196, -0.4191,  0.89211,  1.00,  0.50196,  0.50196,  0.50196,  0.71454,  0.52031,  0.71454,  0.52031
12, 12900,  0.51343, -0.21612,  0.00698, -0.11272, -0.94764, -0.27801,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187,  0.55965,  0.07086
13, 12901,  0.51011, -0.20129, -0.04157, -0.11403, -0.94699, -0.28232,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483,  0.56222,  0.06983
14, 12902,  0.56158, -0.21645, -0.0122, -0.10105, -0.9553, -0.22323,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507,  0.56051,  0.06675
15, 12903,  0.51011, -0.20129, -0.04157, -0.1209, -0.95961, -0.23244,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483,  0.56222,  0.06983
