VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input2.z, _input2.w, _input3.x, _input3.y, _input4.x, _input4.y
0, 0, -0.13709,  0.09829, -0.03293, -0.32258,  0.66127, -0.67725,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30298,  0.03857,  0.30298
1, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
2, 2, -0.14681,  0.09598, -0.02812, -0.45713,  0.64868, -0.60848,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30713,  0.03857,  0.30713
3, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72293,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
4, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
5, 4, -0.13709,  0.09829, -0.03293, -0.32258,  0.66127, -0.67725,  1.00,  0.50196,  0.50196,  0.00,  0.03857,  0.30298,  0.03857,  0.30298
6, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72293,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
7, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
8, 1, -0.13712,  0.09744, -0.03136, -0.32729,  0.66388, -0.67241,  1.00,  0.50196,  0.50196,  0.00,  0.03802,  0.30347,  0.03802,  0.30347
9, 6, -0.11249,  0.10094, -0.04047, -0.05643,  0.67066, -0.73961,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
10, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
11, 3, -0.12461,  0.10031, -0.0377, -0.17757,  0.66771, -0.72293,  1.00,  0.50196,  0.50196,  0.50196,  0.03821,  0.2981,  0.03821,  0.2981
12, 6, -0.11249,  0.10094, -0.04047, -0.05643,  0.67066, -0.73961,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
13, 7, -0.11256,  0.0978, -0.03891, -0.06285,  0.65656, -0.75164,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
14, 5, -0.12465,  0.0974, -0.03613, -0.18255,  0.6602, -0.72857,  1.00,  0.50196,  0.50196,  0.00,  0.03738,  0.29834,  0.03738,  0.29834
15, 8, -0.10094,  0.10096, -0.04165,  0.03341,  0.66427, -0.74674,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
16, 7, -0.11256,  0.0978, -0.03891, -0.06285,  0.65656, -0.75164,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
17, 6, -0.11249,  0.10094, -0.04047, -0.05643,  0.67066, -0.73961,  1.00,  0.50196,  0.50196,  0.50196,  0.03732,  0.29346,  0.03732,  0.29346
18, 8, -0.10094,  0.10096, -0.04165,  0.03341,  0.66427, -0.74674,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
19, 9, -0.10091,  0.09815, -0.04021,  0.03361,  0.65879, -0.75157,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
20, 7, -0.11256,  0.0978, -0.03891, -0.06285,  0.65656, -0.75164,  1.00,  0.50196,  0.50196,  0.50196,  0.03647,  0.2937,  0.03647,  0.2937
21, 10, -0.08756,  0.09954, -0.04077,  0.11766,  0.65253, -0.74857,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
22, 9, -0.10091,  0.09815, -0.04021,  0.03361,  0.65879, -0.75157,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
23, 8, -0.10094,  0.10096, -0.04165,  0.03341,  0.66427, -0.74674,  1.00,  0.50196,  0.50196,  0.50196,  0.03635,  0.28931,  0.03635,  0.28931
24, 10, -0.08756,  0.09954, -0.04077,  0.11766,  0.65253, -0.74857,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
25, 11, -0.08712,  0.09715, -0.03895,  0.11542,  0.64973, -0.75133,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
26, 9, -0.10091,  0.09815, -0.04021,  0.03361,  0.65879, -0.75157,  1.00,  0.50196,  0.50196,  0.50196,  0.0354,  0.28955,  0.0354,  0.28955
27, 12, -0.07464,  0.09763, -0.03799,  0.17163,  0.64426, -0.74529,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
28, 11, -0.08712,  0.09715, -0.03895,  0.11542,  0.64973, -0.75133,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
29, 10, -0.08756,  0.09954, -0.04077,  0.11766,  0.65253, -0.74857,  1.00,  0.50196,  0.50196,  0.50196,  0.03433,  0.28467,  0.03433,  0.28467
30, 12, -0.07464,  0.09763, -0.03799,  0.17163,  0.64426, -0.74529,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
31, 13, -0.07485,  0.09579, -0.03583,  0.17264,  0.64415, -0.74515,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
32, 11, -0.08712,  0.09715, -0.03895,  0.11542,  0.64973, -0.75133,  1.00,  0.50196,  0.50196,  0.50196,  0.03345,  0.28491,  0.03345,  0.28491
33, 14, -0.06517,  0.09544, -0.03383,  0.21198,  0.63656, -0.74152,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
34, 13, -0.07485,  0.09579, -0.03583,  0.17264,  0.64415, -0.74515,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
35, 12, -0.07464,  0.09763, -0.03799,  0.17163,  0.64426, -0.74529,  1.00,  0.50196,  0.50196,  0.50196,  0.03217,  0.28076,  0.03217,  0.28076
36, 14, -0.06517,  0.09544, -0.03383,  0.21198,  0.63656, -0.74152,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
37, 15, -0.06558,  0.09461, -0.03192,  0.21102,  0.64174, -0.73731,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
38, 13, -0.07485,  0.09579, -0.03583,  0.17264,  0.64415, -0.74515,  1.00,  0.50196,  0.50196,  0.50196,  0.03125,  0.28101,  0.03125,  0.28101
39, 16, -0.05901,  0.09369, -0.03006,  0.2328,  0.63554, -0.73613,  1.00,  0.50196,  0.50196,  0.50196,  0.02896,  0.27539,  0.02896,  0.27539
40, 15, -0.06558,  0.09461, -0.03192,  0.21102,  0.64174, -0.73731,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
41, 14, -0.06517,  0.09544, -0.03383,  0.21198,  0.63656, -0.74152,  1.00,  0.50196,  0.50196,  0.50196,  0.0303,  0.27759,  0.0303,  0.27759
42, 16, -0.05901,  0.09369, -0.03006,  0.2328,  0.63554, -0.73613,  1.00,  0.50196,  0.50196,  0.50196,  0.02896,  0.27539,  0.02896,  0.27539
43, 17, -0.05934,  0.09306, -0.02824,  0.23223,  0.64091, -0.73164,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
44, 15, -0.06558,  0.09461, -0.03192,  0.21102,  0.64174, -0.73731,  1.00,  0.50196,  0.50196,  0.50196,  0.02956,  0.27759,  0.02956,  0.27759
45, 18, -0.0552,  0.09194, -0.02711,  0.23454,  0.63205, -0.73836,  1.00,  0.50196,  0.50196,  0.50196,  0.02802,  0.27393,  0.02802,  0.27393
46, 17, -0.05934,  0.09306, -0.02824,  0.23223,  0.64091, -0.73164,  1.00,  0.50196,  0.50196,  0.50196,  0.0284,  0.27539,  0.0284,  0.27539
