VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.72871,  0.09077,  0.09329, -0.79171,  0.37771,  0.48014,  1.00,  0.50196,  0.50196,  0.30196,  0.41333,  0.83252,  0.41333,  0.83252
1, 1, -0.72503,  0.08705,  0.09553, -0.19326, -0.66613,  0.72036,  1.00,  0.50196,  0.50196,  0.30196,  0.41333,  0.84033,  0.41333,  0.84033
2, 2, -0.72928,  0.09218,  0.10015, -0.38499, -0.77509,  0.50102,  1.00,  0.50196,  0.50196,  0.30196,  0.40796,  0.83252,  0.40796,  0.83252
3, 0, -0.72871,  0.09077,  0.09329, -0.79171,  0.37771,  0.48014,  1.00,  0.50196,  0.50196,  0.30196,  0.41333,  0.83252,  0.41333,  0.83252
4, 2, -0.72928,  0.09218,  0.10015, -0.38499, -0.77509,  0.50102,  1.00,  0.50196,  0.50196,  0.30196,  0.40796,  0.83252,  0.40796,  0.83252
5, 3, -0.73317,  0.09537,  0.09859, -0.88178, -0.36962, -0.29299,  1.00,  0.50196,  0.50196,  0.30196,  0.4082,  0.8252,  0.4082,  0.8252
6, 3, -0.73317,  0.09537,  0.09859, -0.88178, -0.36962, -0.29299,  1.00,  0.50196,  0.50196,  0.30196,  0.4082,  0.8252,  0.4082,  0.8252
7, 2, -0.72928,  0.09218,  0.10015, -0.38499, -0.77509,  0.50102,  1.00,  0.50196,  0.50196,  0.30196,  0.40796,  0.83252,  0.40796,  0.83252
8, 4, -0.73403,  0.09802,  0.105, -0.4112, -0.69482,  0.59004,  1.00,  0.50196,  0.50196,  0.30196,  0.40283,  0.82471,  0.40283,  0.82471
9, 3, -0.73317,  0.09537,  0.09859, -0.88178, -0.36962, -0.29299,  1.00,  0.50196,  0.50196,  0.30196,  0.4082,  0.8252,  0.4082,  0.8252
10, 4, -0.73403,  0.09802,  0.105, -0.4112, -0.69482,  0.59004,  1.00,  0.50196,  0.50196,  0.30196,  0.40283,  0.82471,  0.40283,  0.82471
11, 5, -0.73584,  0.09885,  0.10252, -0.90736, -0.33497, -0.25397,  1.00,  0.50196,  0.50196,  0.30196,  0.40381,  0.8208,  0.40381,  0.8208
12, 5, -0.73584,  0.09885,  0.10252, -0.90736, -0.33497, -0.25397,  1.00,  0.50196,  0.50196,  0.30196,  0.40381,  0.8208,  0.40381,  0.8208
13, 4, -0.73403,  0.09802,  0.105, -0.4112, -0.69482,  0.59004,  1.00,  0.50196,  0.50196,  0.30196,  0.40283,  0.82471,  0.40283,  0.82471
14, 6, -0.73587,  0.1001,  0.10382, -0.81553,  0.35403,  0.45779,  1.00,  0.50196,  0.50196,  0.30196,  0.4021,  0.82129,  0.4021,  0.82129
15, 6, -0.73587,  0.1001,  0.10382, -0.81553,  0.35403,  0.45779,  1.00,  0.50196,  0.50196,  0.30196,  0.4021,  0.82129,  0.4021,  0.82129
16, 4, -0.73403,  0.09802,  0.105, -0.4112, -0.69482,  0.59004,  1.00,  0.50196,  0.50196,  0.30196,  0.40283,  0.82471,  0.40283,  0.82471
17, 7, -0.73341,  0.10117,  0.10468, -0.10601,  0.68102,  0.72455,  1.00,  0.50196,  0.50196,  0.30196,  0.40015,  0.82373,  0.40015,  0.82373
