VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 12888,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52286
1, 12889,  0.13942, -0.11422, -0.13166, -0.11452, -0.99117, -0.02805, -0.10981, -0.99146,  0.03605,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52541
2, 12890,  0.13956, -0.11397, -0.13014, -0.13641, -0.9502, -0.27329, -0.12498, -0.98252, -0.12374, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.71454,  0.52031
3, 12891,  0.14556, -0.09729, -0.13687, -0.21263, -0.5245, -0.8215, -0.20326, -0.76945, -0.60166, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.70945,  0.52031
4, 12892,  0.14563, -0.09724, -0.1356, -0.18536, -0.8878, -0.41583, -0.1676, -0.94061, -0.28753,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52541
5, 12893,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52286
6, 12894,  0.13982, -0.12112,  0.12611, -0.16935, -0.93536,  0.30058, -0.17147, -0.91023,  0.36889,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.70945,  0.52031
7, 12895,  0.13967, -0.11979,  0.12844, -0.17417, -0.88444,  0.42601, -0.17281, -0.87817,  0.43935,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52541
8, 12896,  0.07796, -0.09991,  0.11476, -0.20717, -0.72219,  0.65786, -0.20761, -0.7382,  0.63962,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52286
9, 12897,  0.07796, -0.09991,  0.11476, -0.20717, -0.72219,  0.65786, -0.20761, -0.7382,  0.63962, -1.00,  1.00,  0.50196,  0.50196,  0.00,  0.70945,  0.52286
10, 12898,  0.14157, -0.1208,  0.13039, -0.14909, -0.59029,  0.79191, -0.15333, -0.62075,  0.76742,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.71454,  0.52541
11, 12899,  0.14147, -0.11944,  0.13169, -0.13722, -0.43458,  0.88895, -0.14614, -0.52896,  0.83468,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.71454,  0.52031
12, 12900,  0.51738, -0.19802,  0.03102, -0.09004, -0.9312, -0.34896, -0.12599, -0.91711, -0.37424,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187
13, 12901,  0.51317, -0.17991, -0.01635, -0.08949, -0.93124, -0.34951, -0.09666, -0.80023, -0.58965,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483
14, 12902,  0.56549, -0.19494,  0.01156, -0.09845, -0.9374, -0.32369, -0.14377, -0.82028, -0.54757,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507
15, 12903,  0.51317, -0.17991, -0.01635, -0.09561, -0.94761, -0.30043, -0.09666, -0.80023, -0.58965,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483
16, 12904,  0.56285, -0.18461, -0.01765, -0.09896, -0.93565, -0.33305, -0.10532, -0.90653, -0.40407,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.80864,  0.08483
17, 12902,  0.56549, -0.19494,  0.01156, -0.09845, -0.9374, -0.32369, -0.14377, -0.82028, -0.54757,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.80794,  0.06507
18, 12903,  0.51317, -0.17991, -0.01635, -0.09561, -0.94761, -0.30043, -0.09666, -0.80023, -0.58965,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483
19, 12905,  0.51738, -0.19802,  0.03102, -0.09607, -0.94755, -0.29987, -0.12599, -0.91711, -0.37424,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82226,  0.05187
20, 12906,  0.44936, -0.18954,  0.03128, -0.09149, -0.94528, -0.313, -0.11219, -0.95018, -0.29062,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.84219,  0.05187
21, 12903,  0.51317, -0.17991, -0.01635, -0.09561, -0.94761, -0.30043, -0.09666, -0.80023, -0.58965,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.82348,  0.08483
22, 12906,  0.44936, -0.18954,  0.03128, -0.09149, -0.94528, -0.313, -0.11219, -0.95018, -0.29062,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.84219,  0.05187
23, 12907,  0.44733, -0.17698, -0.01469, -0.09195, -0.94631, -0.30956, -0.12478, -0.49252, -0.86115,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.84322,  0.08483
