VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w
0, 0, -0.05449,  0.07908, -0.02041,  0.26563, -0.9287, -0.25786, -1.00,  1.00,  0.00,  0.00,  0.00
1, 1, -0.05332,  0.0794, -0.01984,  0.33035,  0.12614, -0.93534, -1.00,  1.00,  0.00,  0.00,  0.00
2, 2, -0.05367,  0.07915, -0.01944, -0.25873, -0.95969, -0.10838,  1.00,  1.00,  0.00,  0.00,  0.00
3, 3, -0.05305,  0.07877, -0.01977, -0.63717, -0.7684, -0.05734, -1.00,  1.00,  0.00,  0.00,  0.00
4, 4, -0.05367,  0.07915, -0.01944, -0.25873, -0.95969, -0.10838, -1.00,  1.00,  0.00,  0.00,  0.00
5, 1, -0.05332,  0.0794, -0.01984,  0.33035,  0.12614, -0.93534, -1.00,  1.00,  0.00,  0.00,  0.00
6, 3, -0.05305,  0.07877, -0.01977, -0.63717, -0.7684, -0.05734, -1.00,  1.00,  0.00,  0.00,  0.00
7, 1, -0.05332,  0.0794, -0.01984,  0.33035,  0.12614, -0.93534, -1.00,  1.00,  0.00,  0.00,  0.00
8, 5, -0.05243,  0.07865, -0.02099, -0.52621,  0.42299, -0.73757, -1.00,  1.00,  0.00,  0.00,  0.00
9, 6, -0.05129,  0.07747, -0.02172, -0.63182, -0.77018,  0.0862, -1.00,  1.00,  0.00,  0.00,  0.00
10, 3, -0.05305,  0.07877, -0.01977, -0.63717, -0.7684, -0.05734, -1.00,  1.00,  0.00,  0.00,  0.00
11, 5, -0.05243,  0.07865, -0.02099, -0.52621,  0.42299, -0.73757, -1.00,  1.00,  0.00,  0.00,  0.00
12, 6, -0.05129,  0.07747, -0.02172, -0.63182, -0.77018,  0.0862, -1.00,  1.00,  0.00,  0.00,  0.00
13, 5, -0.05243,  0.07865, -0.02099, -0.52621,  0.42299, -0.73757, -1.00,  1.00,  0.00,  0.00,  0.00
