VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w
0, 0, -0.13709,  0.09829, -0.03293, -0.37816, -0.05542, -0.92408, -1.00,  1.00,  0.50196,  0.50196,  0.00
1, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
2, 2, -0.1468,  0.09595, -0.02812, -0.46645,  0.72509, -0.50659,  1.00,  1.00,  0.50196,  0.50196,  0.00
3, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
4, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
5, 4, -0.13709,  0.09829, -0.03293, -0.37816, -0.05542, -0.92408,  1.00,  1.00,  0.50196,  0.50196,  0.00
6, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
7, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
8, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
9, 6, -0.11238,  0.1009, -0.04047, -0.16257,  0.15609, -0.97424,  1.00,  1.00,  0.50196,  0.50196,  0.50196
10, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
11, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
12, 6, -0.11238,  0.1009, -0.04047, -0.16257,  0.15609, -0.97424,  1.00,  1.00,  0.50196,  0.50196,  0.50196
13, 7, -0.11237,  0.09778, -0.0389, -0.04017, -0.85242, -0.52042,  1.00,  1.00,  0.50196,  0.50196,  0.50196
14, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
15, 8, -0.10077,  0.10137, -0.04167, -0.00629,  0.15011, -0.98863,  1.00,  1.00,  0.50196,  0.50196,  0.50196
