VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w
0, 0, -0.13709,  0.09829, -0.03293, -0.37816, -0.05542, -0.92408, -1.00,  1.00,  0.50196,  0.50196,  0.00
1, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
2, 2, -0.14681,  0.09596, -0.02812, -0.46648,  0.72515, -0.50648,  1.00,  1.00,  0.50196,  0.50196,  0.00
3, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
4, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
5, 4, -0.13709,  0.09829, -0.03293, -0.37816, -0.05542, -0.92408,  1.00,  1.00,  0.50196,  0.50196,  0.00
6, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
7, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
8, 1, -0.13712,  0.09744, -0.03136, -0.06048, -0.89679, -0.4383, -1.00,  1.00,  0.50196,  0.50196,  0.00
9, 6, -0.11263,  0.10092, -0.04048, -0.16813,  0.15707, -0.97313,  1.00,  1.00,  0.50196,  0.50196,  0.50196
10, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
11, 3, -0.12461,  0.10031, -0.0377, -0.29391,  0.10779, -0.94974,  1.00,  1.00,  0.50196,  0.50196,  0.50196
12, 6, -0.11263,  0.10092, -0.04048, -0.16813,  0.15707, -0.97313,  1.00,  1.00,  0.50196,  0.50196,  0.50196
13, 7, -0.11261,  0.09779, -0.0389, -0.0459, -0.85218, -0.52074,  1.00,  1.00,  0.50196,  0.50196,  0.50196
14, 5, -0.12465,  0.0974, -0.03613, -0.10201, -0.86216, -0.49626,  1.00,  1.00,  0.50196,  0.50196,  0.00
15, 8, -0.10123,  0.10133, -0.04181, -0.01682,  0.15095, -0.98835,  1.00,  1.00,  0.50196,  0.50196,  0.50196
