VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
0, 0, -0.50023,  0.14797, -1.93975,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
1, 1, -0.52074,  0.14772, -2.03967,  1.00,  1.00,  1.00,  1.00,  1.00, -0.00002,  1.00, -0.00002,  1.00, -0.00002,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
2, 2, -0.61683,  0.16617, -2.00208,  1.00,  1.00,  1.00,  1.00,  0.90479, -0.00003,  0.90479, -0.00003,  0.90479, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
3, 0, -0.50023,  0.14797, -1.93975,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
4, 2, -0.61683,  0.16617, -2.00208,  1.00,  1.00,  1.00,  1.00,  0.90479, -0.00003,  0.90479, -0.00003,  0.90479, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
5, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
6, 4, -0.49585,  0.15658, -1.83492,  1.00,  1.00,  1.00,  1.00,  0.99951,  0.07397,  0.99951,  0.07397,  0.99951,  0.07397,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
7, 0, -0.50023,  0.14797, -1.93975,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.03955,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
8, 3, -0.59734,  0.16324, -1.89683,  1.00,  1.00,  1.00,  1.00,  0.89795,  0.039,  0.89795,  0.039,  0.89795,  0.039,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
9, 2, -0.61683,  0.16617, -2.00208,  1.00,  1.00,  1.00,  1.00,  0.90479, -0.00003,  0.90479, -0.00003,  0.90479, -0.00003,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
