VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
0, 0,  0.35245,  2.10583, -0.67058, -0.56201,  0.42383,  0.71045,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.76367,  0.00004,  0.76367,  0.00004,  0.76367,  0.91763,  0.08237,  0.00,  0.00, 2, 3, 0, 0
1, 1,  0.28011,  2.12108, -0.72431, -0.34082,  0.45898,  0.82031,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.82617,  0.00004,  0.82617,  0.00004,  0.82617,  0.71409,  0.28591,  0.00,  0.00, 2, 3, 0, 0
2, 2,  0.25994,  2.02974, -0.68074, -0.34619,  0.46606,  0.81396,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.82617,  0.21338,  0.82617,  0.21338,  0.82617,  0.77087,  0.22913,  0.00,  0.00, 2, 3, 0, 0
3, 2,  0.25994,  2.02974, -0.68074, -0.34619,  0.46606,  0.81396,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.82617,  0.21338,  0.82617,  0.21338,  0.82617,  0.77087,  0.22913,  0.00,  0.00, 2, 3, 0, 0
4, 1,  0.28011,  2.12108, -0.72431, -0.34082,  0.45898,  0.82031,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.82617,  0.00004,  0.82617,  0.00004,  0.82617,  0.71409,  0.28591,  0.00,  0.00, 2, 3, 0, 0
5, 3,  0.19503,  2.13663, -0.75808, -0.15967,  0.46753,  0.86963,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.88379,  0.00004,  0.88379,  0.00004,  0.88379,  0.51104,  0.48896,  0.00,  0.00, 3, 2, 0, 0
6, 2,  0.25994,  2.02974, -0.68074, -0.34619,  0.46606,  0.81396,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.82617,  0.21338,  0.82617,  0.21338,  0.82617,  0.77087,  0.22913,  0.00,  0.00, 2, 3, 0, 0
7, 3,  0.19503,  2.13663, -0.75808, -0.15967,  0.46753,  0.86963,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.88379,  0.00004,  0.88379,  0.00004,  0.88379,  0.51104,  0.48896,  0.00,  0.00, 3, 2, 0, 0
8, 4,  0.18571,  2.04146, -0.70864, -0.13794,  0.48779,  0.86182,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.88379,  0.21338,  0.88379,  0.21338,  0.88379,  0.54405,  0.45595,  0.00,  0.00, 2, 3, 0, 0
9, 4,  0.18571,  2.04146, -0.70864, -0.13794,  0.48779,  0.86182,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.88379,  0.21338,  0.88379,  0.21338,  0.88379,  0.54405,  0.45595,  0.00,  0.00, 2, 3, 0, 0
10, 3,  0.19503,  2.13663, -0.75808, -0.15967,  0.46753,  0.86963,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00004,  0.88379,  0.00004,  0.88379,  0.00004,  0.88379,  0.51104,  0.48896,  0.00,  0.00, 3, 2, 0, 0
